year,reference_period_desc,prodn_practice_desc,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,util_practice_desc,statistic_category,description,unit,value,coeff_variation_pct
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,COLBERT,033,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,174.7,3.9
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,LAUDERDALE,077,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,176.2,3.9
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,LAWRENCE,079,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,184.7,3.3
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,LIMESTONE,083,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,193.0,2.2
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,MADISON,089,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,190.3,4.5
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,MARION,093,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,119.6,9.3
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,BLOUNT,009,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,152.6,6.5
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,CALHOUN,015,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,160.2,12.8
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,CHEROKEE,019,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,173.9,4.3
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,CULLMAN,043,COUNTY,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,179.2,9.6
