year,reference_period_desc,prodn_practice_desc,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,util_practice_desc,statistic_category,description,unit,value,coeff_variation_pct
2025,YEAR,ALL PRODUCTION PRACTICES,OTHER STATES,OT,98,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,0.0,
2024,YEAR,ALL PRODUCTION PRACTICES,OTHER STATES,OT,98,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,0.0,
2023,YEAR,ALL PRODUCTION PRACTICES,OTHER STATES,OT,98,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,0.0,
2022,YEAR,ALL PRODUCTION PRACTICES,OTHER STATES,OT,98,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,0.0,
2021,YEAR,ALL PRODUCTION PRACTICES,OTHER STATES,OT,98,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,0.0,
2025,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,152.0,
2024,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,112.0,
2023,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,164.0,
2022,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,118.0,
2021,YEAR,ALL PRODUCTION PRACTICES,ALABAMA,AL,01,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,163.0,
2025,YEAR,ALL PRODUCTION PRACTICES,ARIZONA,AZ,04,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,198.0,
2024,YEAR,ALL PRODUCTION PRACTICES,ARIZONA,AZ,04,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,225.0,
2023,YEAR,ALL PRODUCTION PRACTICES,ARIZONA,AZ,04,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,206.0,
2022,YEAR,ALL PRODUCTION PRACTICES,ARIZONA,AZ,04,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,220.0,
2021,YEAR,ALL PRODUCTION PRACTICES,ARIZONA,AZ,04,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,181.0,
2025,YEAR,ALL PRODUCTION PRACTICES,ARKANSAS,AR,05,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,182.0,
2024,YEAR,ALL PRODUCTION PRACTICES,ARKANSAS,AR,05,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,187.0,
2023,YEAR,ALL PRODUCTION PRACTICES,ARKANSAS,AR,05,,,STATE,CORN,ALL CLASSES,GRAIN,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",BU / ACRE,183.0,
