,year,state,state_abbr,commodity,AREA HARVESTED grain,AREA HARVESTED silage,AREA PLANTED,PRODUCTION grain,PRODUCTION silage,YIELD grain,YIELD silage
0,2021,ALABAMA,AL,CORN,320000.0,5000.0,330000.0,52160000.0,90000.0,163.0,18.0
1,2021,ARIZONA,AZ,CORN,18000.0,76000.0,95000.0,3258000.0,2128000.0,181.0,28.0
2,2021,ARKANSAS,AR,CORN,830000.0,5000.0,850000.0,152720000.0,100000.0,184.0,20.0
3,2021,CALIFORNIA,CA,CORN,50000.0,345000.0,400000.0,9400000.0,9660000.0,188.0,28.0
4,2021,COLORADO,CO,CORN,1140000.0,180000.0,1370000.0,147060000.0,4410000.0,129.0,24.5
5,2021,CONNECTICUT,CT,CORN,,22000.0,24000.0,,374000.0,,17.0
6,2021,DELAWARE,DE,CORN,167000.0,3000.0,170000.0,30728000.0,63000.0,184.0,21.0
7,2021,FLORIDA,FL,CORN,66000.0,25000.0,95000.0,11616000.0,600000.0,176.0,24.0
8,2021,GEORGIA,GA,CORN,435000.0,25000.0,470000.0,79170000.0,550000.0,182.0,22.0
9,2021,IDAHO,ID,CORN,115000.0,260000.0,380000.0,24150000.0,7540000.0,210.0,29.0
10,2021,ILLINOIS,IL,CORN,10850000.0,80000.0,11000000.0,2191700000.0,1600000.0,202.0,20.0
11,2021,INDIANA,IN,CORN,5270000.0,110000.0,5400000.0,1027650000.0,2420000.0,195.0,22.0
12,2021,IOWA,IA,CORN,12450000.0,340000.0,12900000.0,2539800000.0,7140000.0,204.0,21.0
13,2021,KANSAS,KS,CORN,5400000.0,240000.0,5700000.0,750600000.0,4320000.0,139.0,18.0
14,2021,KENTUCKY,KY,CORN,1420000.0,90000.0,1530000.0,272640000.0,1710000.0,192.0,19.0
15,2021,LOUISIANA,LA,CORN,565000.0,3000.0,580000.0,103395000.0,48000.0,183.0,16.0
16,2021,MAINE,ME,CORN,,25000.0,30000.0,,525000.0,,21.0
17,2021,MARYLAND,MD,CORN,415000.0,35000.0,460000.0,72625000.0,700000.0,175.0,20.0
18,2021,MASSACHUSETTS,MA,CORN,,11000.0,14000.0,,187000.0,,17.0
19,2021,MICHIGAN,MI,CORN,1990000.0,340000.0,2350000.0,346260000.0,6970000.0,174.0,20.5
20,2021,MINNESOTA,MN,CORN,7790000.0,450000.0,8350000.0,1378830000.0,8550000.0,177.0,19.0
21,2021,MISSISSIPPI,MS,CORN,700000.0,8000.0,730000.0,126700000.0,136000.0,181.0,17.0
22,2021,MISSOURI,MO,CORN,3430000.0,70000.0,3600000.0,545370000.0,1050000.0,159.0,15.0
23,2021,MONTANA,MT,CORN,60000.0,47000.0,120000.0,6000000.0,846000.0,100.0,18.0
24,2021,NEBRASKA,NE,CORN,9560000.0,260000.0,9900000.0,1854640000.0,5070000.0,194.0,19.5
25,2021,NEVADA,NV,CORN,,13000.0,13000.0,,338000.0,,26.0
26,2021,NEW HAMPSHIRE,NH,CORN,,11000.0,13000.0,,231000.0,,21.0
27,2021,NEW JERSEY,NJ,CORN,69000.0,5000.0,75000.0,11247000.0,100000.0,163.0,20.0
28,2021,NEW MEXICO,NM,CORN,39000.0,80000.0,120000.0,7176000.0,2080000.0,184.0,26.0
29,2021,NEW YORK,NY,CORN,575000.0,440000.0,1030000.0,96025000.0,8360000.0,167.0,19.0
30,2021,NORTH CAROLINA,NC,CORN,905000.0,35000.0,960000.0,134845000.0,630000.0,149.0,18.0
31,2021,NORTH DAKOTA,ND,CORN,3630000.0,250000.0,4100000.0,381150000.0,1875000.0,105.0,7.5
32,2021,OHIO,OH,CORN,3340000.0,160000.0,3550000.0,644620000.0,3200000.0,193.0,20.0
33,2021,OKLAHOMA,OK,CORN,295000.0,25000.0,340000.0,44250000.0,300000.0,150.0,12.0
34,2021,OREGON,OR,CORN,55000.0,39000.0,95000.0,13200000.0,897000.0,240.0,23.0
35,2021,OTHER STATES,OT,CORN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2021,PENNSYLVANIA,PA,CORN,850000.0,310000.0,1180000.0,143650000.0,6510000.0,169.0,21.0
37,2021,RHODE ISLAND,RI,CORN,,2000.0,2000.0,,42000.0,,21.0
38,2021,SOUTH CAROLINA,SC,CORN,370000.0,12000.0,390000.0,51430000.0,228000.0,139.0,19.0
39,2021,SOUTH DAKOTA,SD,CORN,5480000.0,500000.0,6150000.0,734320000.0,6000000.0,134.0,12.0
40,2021,TENNESSEE,TN,CORN,930000.0,35000.0,990000.0,158100000.0,665000.0,170.0,19.0
41,2021,TEXAS,TX,CORN,1850000.0,250000.0,2150000.0,236800000.0,5250000.0,128.0,21.0
42,2021,UTAH,UT,CORN,17000.0,45000.0,65000.0,3043000.0,1080000.0,179.0,24.0
43,2021,VERMONT,VT,CORN,,77000.0,85000.0,,1463000.0,,19.0
44,2021,VIRGINIA,VA,CORN,345000.0,125000.0,490000.0,55200000.0,2125000.0,160.0,17.0
