"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES GRAZED  -  <b>VALUE</b>","CORN - ACRES GRAZED  -  <b>CV (%)</b>","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>VALUE</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>CV (%)</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","2025","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","98,788,000","","3,629,000","","94","","3","","8","","84","","","","","","","","","","","","","","91,258,000","","415,000","","","","","","0.391","","","","","","17,020,549,000","","186.5","","6,208,000","","135,540,000","","21.8",""
"SURVEY","2024","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","90,909,000","","3,356,000","","94","","3","","7","","83","","6,124,370,000","","5,647,066,000","","47,386,000","","5,518,441,000","","81,239,000","","","","83,046,000","","188,000","","4.37","","4.37","","0.396","","4.27","","64,672,613,000","","14,891,756,000","","179.3","","6,207,000","","125,590,000","","20.2",""
"SURVEY","2024","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","5,085,609,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2024","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","432,832,000","","","","477,304,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","94,641,000","","2,491,000","","93","","3","","9","","82","","5,895,147,000","","5,429,692,000","","62,842,000","","5,299,594,000","","67,256,000","","","","86,506,000","","831,000","","4.35","","4.35","","0.407","","5.95","","70,085,591,000","","15,340,520,000","","177.3","","6,461,000","","129,854,000","","20.1",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,873,079,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","426,515,000","","","","465,455,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","88,162,000","","4,027,000","","93","","3","","9","","81","","5,843,441,000","","5,342,318,000","","49,797,000","","5,207,675,000","","84,846,000","","","","78,705,000","","255,000","","4.37","","4.37","","","","6.76","","89,452,876,000","","13,650,531,000","","173.4","","6,851,000","","128,287,000","","18.7",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,820,335,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","387,340,000","","","","501,123,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","92,901,000","","2,175,000","","93","","3","","9","","81","","5,768,491,000","","5,273,687,000","","43,779,000","","5,147,781,000","","82,127,000","","","","84,988,000","","683,000","","","","4.36","","","","5.4","","90,264,369,000","","15,017,788,000","","176.7","","6,451,000","","129,537,000","","20.1",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,706,775,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","441,006,000","","","","494,804,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","90,432,000","","","","92","","3","","10","","79","","5,387,518,000","","4,916,883,000","","42,418,000","","4,775,966,000","","98,499,000","","","","82,168,000","","","","","","","","","","3.5","","64,197,149,000","","14,086,699,000","","171.4","","6,560,000","","134,636,000","","20.5",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,286,207,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","489,759,000","","","","470,635,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","89,370,000","","","","92","","3","","9","","80","","5,949,273,000","","5,448,694,000","","41,114,000","","5,331,353,000","","76,227,000","","","","80,991,000","","","","","","","","","","3.75","","48,737,123,000","","13,568,306,000","","167.5","","6,565,000","","132,542,000","","20.2",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (DRY MILL PLANT)","","","","","","","","","","","","","","","","","","","","","4,834,589,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TYPE OF OPERATION","TYPE OF OPERATION: (WET MILL PLANT)","","","","","","","","","","","","","","","","","","","","","496,764,000","","","","500,579,000","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","88,821,000","","","","92","","2","","10","","80","","6,178,258,000","","5,666,236,000","","35,596,000","","5,553,172,000","","77,468,000","","","","81,169,000","","","","","","","","","","3.47","","52,029,758,000","","14,321,674,000","","176.4","","6,090,000","","120,994,000","","19.9",""
