year,reference_period_desc,prodn_practice_desc,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,util_practice_desc,statistic_category,description,unit,value,coeff_variation_pct
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BENEWAH,009,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,30.8,9.90
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CLEARWATER,035,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,24.6,13.00
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,IDAHO,049,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,58.9,10.9
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,IDAHO,049,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,48.9,18.3
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,IDAHO,049,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.5,9.90
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,LATAH,057,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,63.1,4.7
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,LATAH,057,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,33.5,6.70
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,LEWIS,061,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,57.0,10.3
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,LEWIS,061,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.5,8.10
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,NEZ PERCE,069,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,48.5,9.2
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,NEZ PERCE,069,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,39.3,9.20
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,ADA,001,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,96.2,25.2
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,ADA,001,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,105.8,6.7
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CANYON,027,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,89.6,9.6
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CANYON,027,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,92.0,17.5
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CANYON,027,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,92.5,7.50
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,WASHINGTON,087,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,77.7,6.3
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,WASHINGTON,087,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,83.4,8.40
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CAMAS,025,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,54.1,35.4
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CASSIA,031,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,124.8,3.8
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,CASSIA,031,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,100.8,5.10
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,GOODING,047,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,136.5,2.6
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,GOODING,047,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,112.5,4.50
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,LINCOLN,063,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,93.7,20.8
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,LINCOLN,063,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,71.9,12.90
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,MINIDOKA,067,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,114.0,6.3
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,MINIDOKA,067,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,108.0,5.90
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,TWIN FALLS,083,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,122.7,3.1
2022,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,TWIN FALLS,083,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,122.9,4.5
2021,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,TWIN FALLS,083,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,109.8,7.30
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BANNOCK,005,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,49.6,7.2
2023,YEAR,ALL PRODUCTION PRACTICES,IDAHO,ID,16,BINGHAM,011,COUNTY,WHEAT,"SPRING, (EXCL DURUM)",ALL UTILIZATION PRACTICES,YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,107.8,3.0
