year,state,state_abbr,state_fips,county,county_fips,agg_level,commodity,class,statistic_category,description,unit,value,coeff_variation_pct
2025,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,84.0,
2025,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,84.0,
2025,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,79.0,
2024,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,89.0,
2024,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,87.0,
2024,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,87.0,
2023,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,82.0,
2023,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,80.0,
2023,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,84.0,
2022,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,81.0,
2022,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,94.0,
2022,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,92.0,
2021,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,63.0,
2021,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,70.0,
2021,IDAHO,ID,16,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,71.0,
2025,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,69.0,
2025,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,68.0,
2025,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,69.0,
2024,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,68.5,
2024,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,67.0,
2024,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,63.0,
2023,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,62.0,
2023,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,50.0,
2023,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,54.0,
2022,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,61.0,
2022,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,56.0,
2022,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,53.0,
2021,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,48.0,
2021,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,42.0,
2021,MINNESOTA,MN,27,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,40.0,
2025,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,29.0,
2025,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,25.0,
2025,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,24.0,
2024,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,26.0,
2024,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,33.0,
2024,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,35.0,
2023,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,30.0,
2023,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.0,
2023,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,34.0,
2022,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,25.0,
2022,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.0,
2022,MONTANA,MT,30,,,STATE,WHEAT,"SPRING, (EXCL DURUM)",YIELD,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",BU / ACRE,28.0,
