,year,state,state_abbr,commodity,AREA HARVESTED,AREA PLANTED,PRODUCTION,YIELD
0,2021,IDAHO,ID,WHEAT,485000.0,510000.0,30555000.0,63.0
1,2021,MINNESOTA,MN,WHEAT,1160000.0,1210000.0,55680000.0,48.0
2,2021,MONTANA,MT,WHEAT,2180000.0,2900000.0,37060000.0,17.0
3,2021,NORTH DAKOTA,ND,WHEAT,5210000.0,5500000.0,174535000.0,33.5
4,2021,SOUTH DAKOTA,SD,WHEAT,580000.0,720000.0,16820000.0,29.0
5,2021,WASHINGTON,WA,WHEAT,540000.0,580000.0,16200000.0,30.0
6,2022,IDAHO,ID,WHEAT,360000.0,380000.0,29160000.0,81.0
7,2022,MINNESOTA,MN,WHEAT,1210000.0,1250000.0,73810000.0,61.0
8,2022,MONTANA,MT,WHEAT,2440000.0,2700000.0,61000000.0,25.0
9,2022,NORTH DAKOTA,ND,WHEAT,5260000.0,5300000.0,263000000.0,50.0
10,2022,SOUTH DAKOTA,SD,WHEAT,710000.0,750000.0,34080000.0,48.0
11,2022,WASHINGTON,WA,WHEAT,470000.0,475000.0,21620000.0,46.0
12,2023,IDAHO,ID,WHEAT,395000.0,410000.0,32390000.0,82.0
13,2023,MINNESOTA,MN,WHEAT,1260000.0,1300000.0,78120000.0,62.0
14,2023,MONTANA,MT,WHEAT,2630000.0,2700000.0,78900000.0,30.0
15,2023,NORTH DAKOTA,ND,WHEAT,5490000.0,5550000.0,266265000.0,48.5
16,2023,SOUTH DAKOTA,SD,WHEAT,650000.0,740000.0,27950000.0,43.0
17,2023,WASHINGTON,WA,WHEAT,490000.0,500000.0,18620000.0,38.0
18,2024,IDAHO,ID,WHEAT,435000.0,450000.0,38715000.0,89.0
19,2024,MINNESOTA,MN,WHEAT,1180000.0,1220000.0,80830000.0,68.5
20,2024,MONTANA,MT,WHEAT,2390000.0,2500000.0,62140000.0,26.0
21,2024,NORTH DAKOTA,ND,WHEAT,5260000.0,5350000.0,310340000.0,59.0
22,2024,SOUTH DAKOTA,SD,WHEAT,635000.0,660000.0,31115000.0,49.0
23,2024,WASHINGTON,WA,WHEAT,490000.0,495000.0,21070000.0,43.0
24,2025,IDAHO,ID,WHEAT,420000.0,435000.0,35280000.0,84.0
25,2025,MINNESOTA,MN,WHEAT,1100000.0,1150000.0,75900000.0,69.0
26,2025,MONTANA,MT,WHEAT,1950000.0,2150000.0,56550000.0,29.0
27,2025,NORTH DAKOTA,ND,WHEAT,5030000.0,5100000.0,276650000.0,55.0
28,2025,SOUTH DAKOTA,SD,WHEAT,640000.0,680000.0,32640000.0,51.0
29,2025,WASHINGTON,WA,WHEAT,470000.0,475000.0,19740000.0,42.0
